group,pucker,reference
7_9-0,14b,9e-05
6_9-0,14b/1s3,0.0
6_9-1,14b,0.0
6_14-0,5ho/2so,0.0
6_14-1,1e,0.0
6_14-2,5ho/eo,0.0
7_14-0,1e/1h2,0.0
9_14-0,1h2/e2,0.0
9_14-1,1h2/1e,0.0
8_14-0,1h2,0.0
8_14-1,1e/1h2,0.0
11_14-0,1h2,0.0
9_12-0,b25/1s5,0.0
3_5-0,25b,0.0
0_3-0,oh1/3s1,0.0
0_3-1,2h1/e1,0.0
0_3-2,2e/25b,0.0
0_3-3,e1,0.0
3_6-0,25b/2e,0.0
3_6-1,2so/25b,0.0
0_4-0,2e/25b,0.0
0_5-0,2h3/e3,0.00851
0_5-1,2h3/2e,0.0
0_6-0,2h3/2so,0.0
0_6-1,4h5/4e,0.0
0_6-2,bo3/1s3,0.0
0_6-3,4e/4h3,0.0
0_6-4,e5/4h5,0.0
0_6-5,4h3/e3,0.0
13_14-0,3h2/3e,0.0
12_14-0,3h2/3e,0.00526
12_14-1,e2/3h2,0.0
2_14-0,3h2/3e,0.0
2_14-1,3h4/e4,0.0
10_14-0,3h2,0.0
1_14-0,3h4/e4,0.0
3_12-0,3s1/3ob,0.0
0_1-0,b14/3s1,0.0
0_1-1,oh1/oe,0.0
0_1-2,e1/2h1,0.0
0_1-3,e1/oh1,0.0
0_9-0,bo3/e3,0.0
0_9-1,4h5/e5,0.0
0_12-0,4h5/e5,0.0
0_12-1,bo3,0.0
0_12-2,e5/oh5,0.0
0_12-3,e5,0.0
3_14-0,5h4/5e,0.0
1_3-0,b14,0.0
0_2-0,e1/b14,0.0
0_2-1,oh1/oe,0.0
0_2-2,e1/2h1,0.0
9_11-0,b25,0.0
9_11-1,b25/1s5,0.0
6_11-0,b25,0.0
7_12-0,b25,0.0
7_12-1,b25/1s5,0.0
5_6-0,bo3/1s3,0.0023
0_7-0,bo3/1s3,0.0
5_11-0,bo3/1s3,0.0
0_11-0,e5/oh5,0.0
1_12-0,3ob/3s1,0.0
1_13-0,3ob/3s1,0.0
0_13-0,oh1/oe,0.0
0_13-1,oh5/e5,0.0
10_12-0,os2/b25,0.0
