tolerance,num_comp_lm,accuracy
0,8,0.889
0.02,7,0.778
0.04,7,0.778
0.06,7,0.778
0.08,7,0.778
0.1,7,0.778
0.12000000000000001,7,0.778
0.14,7,0.778
0.16,6,0.667
0.18,6,0.667
0.19999999999999998,6,0.667
0.21999999999999997,6,0.667
0.23999999999999996,6,0.667
0.25999999999999995,6,0.667
0.27999999999999997,6,0.667
0.3,6,0.667
0.32,6,0.667
0.34,6,0.667
0.36000000000000004,6,0.667
0.38000000000000006,6,0.667
0.4000000000000001,6,0.667
0.4200000000000001,6,0.667
0.4400000000000001,6,0.667
0.46000000000000013,6,0.667
0.48000000000000015,6,0.667
0.5000000000000001,6,0.667
0.5200000000000001,6,0.667
0.5400000000000001,6,0.667
0.5600000000000002,6,0.667
0.5800000000000002,5,0.556
0.6000000000000002,5,0.556
0.6200000000000002,5,0.556
0.6400000000000002,5,0.556
0.6600000000000003,5,0.556
0.6800000000000003,4,0.444
0.7000000000000003,4,0.444
0.7200000000000003,4,0.444
0.7400000000000003,3,0.333
0.7600000000000003,3,0.333
0.7800000000000004,3,0.333
0.8000000000000004,3,0.333
0.8200000000000004,3,0.333
0.8400000000000004,3,0.333
0.8600000000000004,3,0.333
0.8800000000000004,3,0.333
0.9000000000000005,3,0.333
0.9200000000000005,3,0.333
0.9400000000000005,3,0.333
0.9600000000000005,3,0.333
0.9800000000000005,3,0.333
