"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-bo3-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.783173455","1.524","0.145901","-271.631311","-271.665603","-89.1642","227.3871","180.01968858934575","89.63625244263076","0.7394985784440311","bo3","N/A","N/A","N/A","N/A","N/A","N/A","1.4256820476249252","1.5546625876369446","1.5368429477464507","1.5368231212820167","1.5546682089542452","1.425658489715542","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-oh5-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.777233975","1.617","0.14596","-271.625059","-271.660645","-223.3471","50.6514","339.53799599847576","62.604468424409404","0.5660190734529519","oh5","N/A","N/A","N/A","N/A","N/A","N/A","1.4226617363639187","1.551066715188615","1.560978653817854","1.5573087578948497","1.5288716112882077","1.4233393794784153","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b14-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782270034","1.847","0.145707","-271.63056","-271.664915","-90.4855","235.2751","115.27994986317891","89.9878015970315","0.7062679681405083","25b","N/A","N/A","N/A","N/A","N/A","N/A","1.4389775117495758","1.5290623052122498","1.5391368037149915","1.556400838185331","1.5304456838581368","1.4269482535852516","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-o3b-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.783173405","1.524","0.145901","-271.631311","-271.665603","-89.1573","227.3877","0.017048786351008937","90.3636644302285","0.7395013838063125","o3b","N/A","N/A","N/A","N/A","N/A","N/A","1.4256665711676766","1.5546653248371496","1.5368458501242082","1.5368222352848753","1.5546681773616517","1.4256602854190052","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5s1-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782269294","1.847","0.1457","-271.630564","-271.664923","-90.4851","234.7211","64.72953460942068","89.99597682966044","0.7062293247598698","b14","N/A","N/A","N/A","N/A","N/A","N/A","1.4269461574390252","1.5304133686824615","1.556382594880192","1.5391712035777567","1.5290861430831815","1.4389759817418775","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e4-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.777314067","1.8127","0.145447","-271.625588","-271.66119","-244.2933","57.7397","0.4702928591097682","117.78696425886685","0.575494018387936","3e","N/A","N/A","N/A","N/A","N/A","N/A","1.4324003157902472","1.5387503335401749","1.5309455762753295","1.5309175593300248","1.5381615419760046","1.4323051820181338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1c4-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.777235897","1.6169","0.145964","-271.625058","-271.660635","-223.1096","51.1284","159.58400544180893","117.40652019377731","0.5659449604939892","5ho","N/A","N/A","N/A","N/A","N/A","N/A","1.422667327678892","1.5510482370870997","1.560963466771404","1.5573077752730833","1.5288832924504079","1.42335373504586","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-14b-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782270033","1.847","0.145707","-271.63056","-271.664915","-90.4773","235.277","295.27883567626634","90.01167847915275","0.7062693714394268","b25","N/A","N/A","N/A","N/A","N/A","N/A","1.438977795494079","1.5290632499703862","1.5391377527356025","1.556400134691269","1.5304448389200442","1.4269455968792224","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-oe-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.777236532","1.6169","0.14596","-271.62506","-271.660659","-222.8769","49.9245","20.331803667617276","62.59741750799894","0.5658987418677983","oh1","N/A","N/A","N/A","N/A","N/A","N/A","1.4233510105441316","1.5289113697588883","1.5573118632056329","1.5609760164301052","1.5509905129787223","1.4226684994706251","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_b3lyp-TS_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782269331","1.847","0.1457","-271.630564","-271.664923","-90.452","234.7269","244.7299601642598","90.00383423626049","0.7062223774859804","14b","N/A","N/A","N/A","N/A","N/A","N/A","1.4269459518334955","1.530413474508768","1.5563824405759017","1.5391724302202139","1.5290856919518931","1.4389758749982573","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
